antecedent,consequent,support,confidence,lift
{0 6},{16 14},0.822,0.967,1.044
{0 16 6},{14},0.822,0.988,1.028
{0 16 14},{6},0.822,0.96,1.04
{0 6 14},{16},0.822,0.98,1.026
{0 11},{16 14},0.81,0.965,1.042
{0 16 11},{14},0.81,0.987,1.027
{0 11 14},{16},0.81,0.98,1.026
{11 6},{16 14},0.835,0.961,1.038
{16 11 6},{14},0.835,0.984,1.024
{16 11 14},{6},0.835,0.961,1.041
{16 6 14},{11},0.835,0.95,1.036
{11 6 14},{16},0.835,0.979,1.025
{0 11},{6},0.807,0.962,1.041
{0 6},{14},0.839,0.987,1.026
{0 14},{6},0.839,0.955,1.034
{0 16},{6},0.832,0.956,1.035
{0 6},{16},0.832,0.979,1.025
{0 11},{14},0.826,0.985,1.025
{0 11},{16},0.82,0.978,1.024
{0},{16 14},0.856,0.955,1.031
{0 16},{14},0.856,0.983,1.023
{0 14},{16},0.856,0.974,1.02
{11 6},{14},0.853,0.982,1.022
{11 14},{6},0.853,0.955,1.035
{16 11},{6},0.848,0.955,1.034
{11 6},{16},0.848,0.977,1.023
{6},{16 14},0.878,0.951,1.028
{16 6},{14},0.878,0.98,1.019
{6 14},{16},0.878,0.974,1.019
{16 11},{14},0.868,0.977,1.017
{11 14},{16},0.868,0.973,1.018
{0},{14},0.879,0.98,1.02
{0},{16},0.871,0.971,1.017
{6},{14},0.902,0.977,1.017
{6},{16},0.896,0.971,1.017
{11},{14},0.893,0.973,1.012
{11},{16},0.889,0.968,1.014
{16},{14},0.926,0.969,1.008
{14},{16},0.926,0.963,1.008
